"id","bond_id","trade_price","weight","current_coupon","time_to_maturity","is_callable","reporting_delay","trade_size","trade_type","curve_based_price","received_time_diff_last1","trade_price_last1","trade_size_last1","trade_type_last1","curve_based_price_last1","received_time_diff_last2","trade_price_last2","trade_size_last2","trade_type_last2","curve_based_price_last2","received_time_diff_last3","trade_price_last3","trade_size_last3","trade_type_last3","curve_based_price_last3","received_time_diff_last4","trade_price_last4","trade_size_last4","trade_type_last4","curve_based_price_last4","received_time_diff_last5","trade_price_last5","trade_size_last5","trade_type_last5","curve_based_price_last5","received_time_diff_last6","trade_price_last6","trade_size_last6","trade_type_last6","curve_based_price_last6","received_time_diff_last7","trade_price_last7","trade_size_last7","trade_type_last7","curve_based_price_last7","received_time_diff_last8","trade_price_last8","trade_size_last8","trade_type_last8","curve_based_price_last8","received_time_diff_last9","trade_price_last9","trade_size_last9","trade_type_last9","curve_based_price_last9","received_time_diff_last10","trade_price_last10","trade_size_last10","trade_type_last10","curve_based_price_last10"
10,1,126.268,7.61685103,5.95,25.94034927,0,12.54,150000,3,126.0173628,343747,125.101,4e+05,3,124.7176077,345050,124.757,1e+06,3,124.7219533,684386,126.061,220000,3,126.1803338,1295498,128.891,29000,4,126.6360787,1308464,124.918,10000,2,125.7360815,2152948,126.362,5000001,2,127.0257646,2157390,126.88,4200000,3,126.7614334,2407701,126.673,85000,4,126.3235283,2862729,128.596,120000,2,127.5612012,3621492,129.089,2e+05,2,129.435587
38,2,101.009,0.018372589,3.55,0.326392049,0,9.327,450000,3,101.0685456,1,101.009,450000,2,101.0685456,3694,100.85,25000,2,101.0660382,8018,100.995,3e+06,2,101.0661144,9168,101.0184,3e+06,3,101.0670773,18344,100.963,50000,2,101.0632938,348445,100.966,15000,2,101.0629807,448618,100.9777,25000,2,101.0774051,523506,101.033,25000,2,101.1019277,532644,101.086,5e+05,2,101.1031796,538510,101.07,25000,2,101.1022433
336,3,108.144,3.537379565,4.2,2.340601278,0,0.102,160000,4,107.9276588,74139,107.99,6000,2,107.922875,74659,107.99,6000,4,107.92062,83993,108.414,75000,3,107.9634273,84037,108.14,75000,4,107.9383855,84729,107.965,2000,4,107.934646,84729,107.965,2000,2,107.934646,85567,108.429,5000,3,107.9325423,92007,108.246,38000,2,107.9006177,96293,107.917,4e+05,2,107.8749653,96293,107.917,4e+05,4,107.8749653
781,4,116.953,0.402523266,4.875,7.367652933,0,52.093,10000,4,116.5524635,959,115.842,5000,2,116.5424865,1087,116.1944,5000,4,116.5424865,13193,116.551,4e+05,3,116.2832208,86599,115.27,5000,2,116.4564891,86641,116.3137,5000,4,116.4564891,91301,115.722,2000,4,116.0544149,91302,115.722,2000,4,116.0544149,91302,115.222,2000,2,116.0544149,92559,115.924,10000,2,116.1604196,97177,116.458,2000,3,116.3428019
1172,14,133.21,0.21068482,10.75,4.159301315,0,13.722,25000,4,130.2024175,262,133.612,25000,4,130.2117873,688540,130.053,1e+05,2,129.6342675,2864101,136.5,1e+06,3,129.339362,3975190,125,5000,4,128.7582576,3975190,124.5,5000,2,128.7582576,5528175,132,52000,3,130.821502,5543255,131.5,52000,4,130.9538129,5546621,131.055,25000,3,130.9692217,6400208,127.5,25000,2,131.0669979,6400208,127.5,25000,4,131.0669979
1177,15,139,3.866175207,6.875,17.15694445,0,0.79,5e+05,3,139.6272173,88562,134.426,9e+05,3,140.6450515,2237603,135.653,5e+06,3,134.0858974,2930501,133.94,5e+05,2,133.8214619,3028046,135.337,2e+06,2,134.4903286,4748160,129.93,12000,4,132.3004578,4748362,128,16000,4,132.3004578,4753025,121.7,30000,2,132.8679196,4753025,122.35,30000,4,132.8679196,5874299,130.371,5e+05,3,130.0137867,5874596,129.482,472000,4,130.0137867
1205,16,111.822,4.196578541,7.5,6.356764465,0,35.842,4e+06,2,112.7267181,104346,111.391,387000,4,112.2696669,104363,111.328,387000,4,112.2696669,424858,111.799,5e+06,2,112.1648378,424922,111.788,5e+06,3,112.1648378,436037,111.679,5000001,3,112.0373606,612703,111.528,2e+05,2,112.6268015,1911779,114.548,4000,3,113.108926,1911779,114.348,4000,4,113.108926,1911788,114.348,4000,4,113.108926,3019697,113.08,5e+06,2,114.1893641
1214,22,130.199,6.35676991,7.95,8.242223647,0,4.065,125000,4,130.6616304,239420,129.4,10000,4,129.9706997,239425,129.572,10000,3,129.9706997,239425,129.572,10000,4,129.9706997,599597,128.514,80000,2,130.3094383,671888,129.78,1e+06,2,129.7240524,1275631,131.265,4e+05,3,130.7701663,1362326,130.991,5e+05,2,130.7489701,1899096,128.68,125000,2,131.2467274,1988273,130.643,4e+05,3,131.5393125,1988531,130.643,4e+05,4,131.5393125
1261,25,100.93,3.401063564,3.125,0.387383538,0,64.738,15000,3,101.0345561,68535,100.713,5e+05,2,101.028982,70145,100.713,5e+05,2,101.0292119,78300,100.922,51000,3,101.0367162,78301,100.915,51000,4,101.0367162,163288,100.83,50000,4,101.0374589,163288,100.83,50000,2,101.0374589,165176,100.758,10000,4,101.0375736,165178,100.758,10000,4,101.0375736,165178,100.258,10000,2,101.0375736,240584,100.962,4000,4,101.0301304
1683,27,106.217,3.20023401,3.875,3.38755431,0,87.268,3e+05,2,106.5291575,60680,106.806,17000,3,106.4722786,61352,106.462,3000,4,106.4651169,61353,105.29533,3000,2,106.4651169,61960,106.613,8000,2,106.4659917,64466,106.621,6000,2,106.4637783,69597,106.396,3000,4,106.42794,69598,105.23433,3000,2,106.42794,69694,105.091,2000,2,106.4193469,69718,106.25,2000,4,106.4193469,74523,106.972,5000,3,106.4891379
