spoof,price_level,side,size,L1BidVolume,L1AskVolume,L2BidVolume,L2AskVolume,L3BidVolume,L3AskVolume,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,1,1,0,0,0,0,2,1,1,0.28547317,0.30709502,-0.16256,0.5716816,-0.92785543,0.2669104,0.41930187,0.3753343,0.19747873,0.44014633
1,1,1,0,3,0,3,0,1,3,0.17198735,0.1488283,-0.12663569,0.7076237,-1.0282414,0.32778957,0.39259392,0.498095,0.14468214,0.5807966
0,4,1,0,1,2,1,1,2,0,1.1363428,1.3541682,0.5553365,-0.69108987,0.982827,-0.85962814,-0.33362824,-0.71396595,0.9099156,-0.609235
0,1,0,0,0,0,0,0,1,1,0.1650916,0.1687276,-0.023688927,0.54814625,-0.7295175,-0.07104972,0.26872128,0.5675625,0.06307176,0.5533596
0,4,1,0,1,0,1,2,1,1,1.1357006,1.2840843,0.3128135,-0.56131005,0.31049725,-0.09296277,-0.029125273,-0.5623017,0.8046587,-0.53776664
1,1,1,0,0,0,1,1,1,2,0.19634521,0.15785065,-0.15353818,0.6629126,-0.9951959,0.2570074,0.43386346,0.54602957,0.10961267,0.5739952
0,4,1,0,1,0,2,2,1,2,0.96985626,1.253705,0.396555,-0.4601459,0.123047315,0.1318616,-0.2178262,-0.65097624,0.78645307,-0.5131043
0,2,1,0,1,1,2,3,4,4,1.0516257,0.93548006,0.47212112,-0.26054096,0.31530657,-9.4890594e-05,-0.055772915,-0.37541056,0.8991798,-0.24419652
1,1,0,2,3,1,0,1,1,0,-0.017632127,-0.09643674,-0.3441862,1.0719188,-0.9173213,-0.3150052,0.60913867,0.7053119,0.06772527,0.8650225
1,2,0,3,0,2,3,0,0,0,-0.83834565,-0.604132,-0.44723988,1.8199028,-1.1882298,-0.9429512,0.3997985,0.97287107,-0.29200062,1.4134649
0,4,1,0,1,1,2,2,4,3,1.5256908,1.5826364,0.8618611,-1.0066272,1.0635544,-0.13733806,-0.49344736,-1.0383838,1.2695671,-0.89873534
1,1,0,1,3,0,0,2,1,1,0.5093409,0.1826283,-0.2504158,0.5807615,-0.6500181,-0.04278332,0.7418503,0.6087977,0.275374,0.551685
1,2,0,0,0,0,0,1,1,0,0.4241573,0.36674672,0.0132641345,0.3068347,-0.052528046,-0.78857386,0.29181075,0.4143931,0.24109274,0.37659723
1,2,1,0,1,0,2,0,0,2,0.26836097,0.23003456,-0.0519664,0.49503487,-0.82383317,0.1710746,0.34067923,0.52233833,0.1171135,0.48920238
1,1,1,4,0,0,1,1,1,1,-0.025815547,-0.031271756,-0.28496677,0.9878582,-1.1817452,0.15904573,0.512996,0.6460429,0.036052912,0.78389066
1,1,1,1,1,0,0,0,0,0,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
0,4,1,0,0,2,0,0,1,1,0.70310134,1.1797433,0.5261984,-0.35043764,0.6509708,-0.84938025,-0.5200358,-0.6938397,0.73316884,-0.4144917
