,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29
NEWM,-1.0342657752671958,-0.9440153382287525,-0.8546189990249158,-0.7654389552692298,-0.6768065115303533,-0.5890248654985989,-0.5044545892965893,-0.43385087648293474,-0.382443308142402,-0.3658421081086176,-0.3849810820948113,-0.4327510930525875,-0.47485251268136,-0.49975607018160034,-0.5122552598711861,-0.5081225042332476,-0.487817811179912,-0.4363923279153518,-0.3331731695956739,-0.20144373631418167,-0.05096414363598168,0.1338319520522423,0.36329272312743494,0.6372353745147906,0.9606620270750404,1.271075668913483,1.5845673066112116,1.9022147614889715,2.221981167588769,2.541081977895768
DMO,1.4832142786621365,1.3618725242308618,1.2406499660984835,1.1197171622427018,0.9991782412704296,0.8790638025768024,0.7595358587268604,0.6408961399178661,0.5235475872491062,0.40777220383132184,0.29345978392168653,0.17972881051857903,0.06486938758494866,-0.0411052699921906,-0.14418647178438673,-0.2440874648342461,-0.340266842510857,-0.4294109914121256,-0.4780095965243087,-0.519498967683377,-0.5571835949850407,-0.5925882235474992,-0.626426213934975,-0.6589896205347342,-0.6903600875631891,-0.7205371619552036,-0.7495203028146026,-0.7772998338286666,-0.8038574822775488,-0.829101764253777
VMW,-2.5423283442322453,-2.2210462718015305,-1.9011185870250435,-1.5819826187366575,-1.2640817598148069,-0.9491773287519695,-0.643039502912479,-0.40089470411912875,-0.20067872243708978,-0.04492151188383874,0.058343701982703194,0.125372857789333,0.1870513612460402,0.26014302804120487,0.35748580627008314,0.4668551965241905,0.5758106939822936,0.6853731387786435,0.7844883699830286,0.8425548325907819,0.8494701205411441,0.8053402017623494,0.7325033902533407,0.6680758023962171,0.6451412320956158,0.6249020128234332,0.6023537187669871,0.5807651661465925,0.5626976463820622,0.549249228234113
CCI,-0.03118673757205874,0.11216628144257552,0.2495574688647782,0.38162217480272714,0.5091021286867088,0.6325822960579057,0.7516995526779677,0.8538734473024122,0.8769083193450666,0.8762173944146765,0.8622027309462236,0.8335603092623213,0.7817651688421742,0.7090282781945647,0.6292129467698581,0.5495915224927844,0.44961608195984626,0.309093219486042,0.13112259682288127,-0.07472797591951105,-0.2967675136254062,-0.5284427552372148,-0.7608673946884917,-0.9604740077584943,-1.1399794014481548,-1.3162903863279438,-1.4894754236775243,-1.6579972598371107,-1.8199619046336495,-1.9741257756911863
MNK,-0.01998832589123521,0.16353595783932035,0.335306259809714,0.4927295231488676,0.6330548631305994,0.7532574296308931,0.8482300127658465,0.8988202676218472,0.7495202440929216,0.5911340652323045,0.42968590111016863,0.2564103754081997,0.05937289166927455,-0.14507065689593698,-0.2975998518410003,-0.40723825576593886,-0.5160079744162802,-0.6178420883419616,-0.7055442991740595,-0.7836984175517959,-0.8579124380674028,-0.9190120731787035,-0.9415006294881008,-0.8604543156180368,-0.7512600789247861,-0.6340376238076137,-0.5122420058263384,-0.38679899277877866,-0.25698218045633414,-0.12149914886534341
CMD,-1.4791406819183408,-1.4013741753077484,-1.3263869010889513,-1.2520241668829604,-1.179304812958456,-1.1095520753131303,-1.0064713362132467,-0.8604112599330004,-0.708690659602653,-0.5674316642904651,-0.43003405692900787,-0.3050905903542554,-0.2120375789170639,-0.15798978828652682,-0.10452911919027352,-0.026344165370156682,0.07985992485978521,0.21163993061185676,0.3642080268311938,0.523398191431249,0.6331122679991634,0.6967266481695185,0.7382788588468914,0.7617105442415388,0.7999856383185414,0.8959381375720717,1.1203648862375537,1.3583272646919131,1.6102843820852897,1.8802650533036416
MTU,-0.42830902392788633,-0.48860114497585,-0.5449291297748916,-0.5977129166330887,-0.6475840806959327,-0.6951980322152871,-0.7410050918360984,-0.7852730095974358,-0.8267464385774864,-0.8549515768152312,-0.8228560532227901,-0.7650297057960864,-0.6904785042842354,-0.6048550379979319,-0.5078422585339232,-0.3973446996416533,-0.26575325488690504,-0.10653423120791888,0.07691557913553615,0.27059363674384085,0.4612926884607792,0.6239484453584325,0.7763243109533691,0.9290095825316413,1.0827083452387585,1.236477715746962,1.3890934800536128,1.5397308306656903,1.687831050694441,1.8327665702243718
XIN,-1.014563643644875,-0.9968945976325327,-0.9801527615497708,-0.9639353024755118,-0.9479357697898189,-0.9325262508548832,-0.9192557923526423,-0.91549460961717,-0.9051769821724096,-0.8758012073885292,-0.8179324601555386,-0.724641396691829,-0.5936140556123383,-0.4297463203245316,-0.24122502513195923,-0.024329537167272305,0.22329810254812082,0.47932410485594223,0.7051968229495194,0.8698162986342732,0.9670367637219186,1.0180440590593696,1.0424932015500157,1.059397453954031,0.9836043026803444,0.8951335337929415,0.7927702557101964,0.6786117263659894,0.5556107384409208,0.42642574188271387
INB,-1.2717262596113412,-1.1960620715918806,-1.1198666748070407,-1.0429911262750637,-0.9654157485654173,-0.8873032681796181,-0.8088681205326077,-0.7303608547144066,-0.6520782008959956,-0.5743042503684667,-0.4973256750883974,-0.421383576948438,-0.3464335234111215,-0.26559443267167376,-0.1806147745149885,-0.08955563539995755,0.007885314079814557,0.11144040143876831,0.23204223331636778,0.35913464621480234,0.48836235050308285,0.6185779258354867,0.7495064381534451,0.8811030173310496,1.01343080404718,1.146706603022791,1.2812480559306885,1.4174141312834845,1.5555525177899021,1.6959060102335324
BOX,0.3669279683824868,0.5815854012914737,0.7784590163371957,0.9628957697076893,1.1422770552631554,1.2998585862070593,1.308859888475862,1.2060029509181023,0.9709875950871996,0.6613546956724189,0.3194298989457303,-0.048567826039030156,-0.3884234752100029,-0.5879368264053412,-0.6304028340673354,-0.5844036782039856,-0.5148396483208676,-0.45573319332548495,-0.4521175602453701,-0.5640655724834469,-0.760728980765328,-0.9093073260905175,-0.9756416587808968,-0.9871288561623643,-0.9146983924034958,-0.6554921402109315,-0.3640762131190113,-0.059691741219601885,0.2576509910119446,0.5876709151218081
